Year,City,Start Daylight,GMT offset,End Daylight,GMT offset
2007,New York,3/11/2007,-4,11/4/2007,-5
2007,Chicago,3/11/2007,-5,11/4/2007,-6
2007,London,3/25/2007,1,10/28/2007,0
2008,New York,3/9/2008,-4,11/2/2008,-5
2008,Chicago,3/9/2008,-5,11/2/2008,-6
2008,London,3/30/2008,1,10/26/2008,0
2009,New York,3/8/2009,-4,11/1/2009,-5
2009,Chicago,3/8/2009,-5,11/1/2009,-6
2009,London,3/29/2009,1,10/25/2009,0
2010,New York,3/14/2010,-4,11/7/2010,-5
2010,Chicago,3/14/2010,-5,11/7/2010,-6
2010,London,3/28/2010,1,10/31/2010,0
2011,New York,3/13/2011,-4,11/6/2011,-5
2011,Chicago,3/13/2011,-5,11/6/2011,-6
2011,London,3/27/2011,1,10/30/2011,0
2012,New York,3/11/2012,-4,11/4/2012,-5
2012,Chicago,3/11/2012,-5,11/4/2012,-6
2012,London,3/25/2012,1,10/28/2012,0
2013,New York,3/10/2013,-4,11/3/2013,-5
2013,Chicago,3/10/2013,-5,11/3/2013,-6
2013,London,3/31/2013,1,10/27/2013,0
2014,New York,3/9/2014,-4,11/2/2014,-5
2014,Chicago,3/9/2014,-5,11/2/2014,-6
2014,London,3/30/2014,1,10/26/2014,0
2015,New York,3/8/2015,-4,11/1/2015,-5
2015,Chicago,3/8/2015,-5,11/1/2015,-6
2015,London,3/29/2015,1,10/25/2015,0
2016,New York,3/13/2016,-4,11/6/2016,-5
2016,Chicago,3/13/2016,-5,11/6/2016,-6
2016,London,3/27/2016,1,10/30/2016,0
